mapudungun;espanol;ingles
welu mongeltu piukelen tati;pero hago vivir mi corazon pues;But I live my heart then
repente ta feyta müña tripatulu femken;de repente cuando salgo mucho me pasa eso;Suddenly when I get that a lot happens to me
femngechi rupan;asi paso;Thus I pass
akukan müten ta awüneu;apenas llegue fui desafortunada;As soon as I arrived I was unfortunate
kutran inche ye teymo entunetumeu;a tantas enfermedades que he estado sacando;To so many diseases that I have been taking out
mongeltupiukepan;llegue a hacer vivir  mi corazon;get to live my heart
ka mongelüñ tañi nentunmu tañi pu püñeñ;tambien di vida al sacar a mis hijos;I also gave life when I get my children
epu müten ta perdelkan pichikelu tati;solo perdi a dos cuando eran chico pues;I just lost two when they were boy well
tami pu püñeñ pitalmu niefimi;y  sus hijos lo tuviste en el hospital;And your children had it at the hospital
kiñe kiñemu mongemey  ospitalmu;uno  fue  a vivir en el  hospital;One went to live in the hospital
taiñ kuerpumu;en su cuerpo;In your body
operangey feyta operangey;y lo operaron;And they operated it
kakelu kom tüfamu müten;a los demas  todos  aca nomas;To others all here
feyta müten koñi;solamente aqui di a luz;Only here I gave birth
weche koñi doy inan;el hijo mas hijo joven el menor;The most young son the youngest
welu operangey;pero lo operaron;But they operated it
feychi kutran niefuy;tenia esa enfermedad;I had that disease
fey mongetuy;y se sano;And he is healthy
pichichengelu operangey;cuando era bebe se opero;When I was a baby, I OPPEE
welu kechu tripantuni yefiñ ospitalmu;pero lo lleve al hospital durante cinco ano;But take it to the hospital for five anus
mongemey;se fue  sanar;He left
chumngechi  lawentukefuymün;como se remediaban;As they remedied
tamün küme nial püñeñ kuyfi;para  el parto antes;For childbirth before
ngekenofulu pital;cuando no habia hospital;When there was no hospital
küme mongelkefuymün pichikeche;daban bien  a luz  sus hijos;their children did good for light
mongeltukelekefun iñche;yo le  daba vida;I gave him life
pütrün püñeñ mongelün tati;muchos hijos crie pues;Many children Crie then
iñche chem püñeñ rume amulan ospitalmu;yo no fui al hospital por  ningun hijo;I did not go to the hospital for any son
kom kidu tañi mongelün tañi pichikeche tati;todo yo sola di vidad  a mis ninos pues;All I only gave my children because
kutraningün;cuando se enfermaban;When they got sick
müña weda kutrankefuyngün;se enfermaban muy mal;They became very bad
kichu trapümelfiñ lawen;yo misma le  juntaba remedio;I remedied myself
re ngillatunengu trapümelkefun lawen engün;a  bese de ruego les juntaba remedio;I kissed I remedy them together
ngautukefuyiñ ka pütokolkefuyiñ;y les dabamos de tomar;and we gave them
fletakefuyngün fey mongetripakefuy;le daba flemas y terminaron sanandose;Flemas gave him and ended up healing
re femngechi;solo asi;just so
femngechi müten feyta;solamente asi esto;Only this
re mapu lawen müten;solo con medicina natural de la tierra;Only with Natural Earth Medicine
re mapu lawen menoko lawen tulelkefuñ;solo conremedio de la tierra remedios de lugares de aguales sacaba;only conremedio de la Earth remedies from places from Aguales took
chafo kutrantuyngün;para la enfermedad de la tos;For cough disease
re mapu lawen mongelkey;solo remedios de la tierra lo sanaba;Only Earth remedies healed him
femngechi mongelkefun;asi los sanaba;So he healed them
feyta ni ni machimu rume;eso  tiene ni donde la machi;That has where the machi
ni medicamu rume tukukelafun pichikeche;ni en la medica  lo trate a mis  ninos;nor in the doctor treats my children
kisu mongel nentutukefuñ;sola los sanaba;alone healed them
kichu mongelkefun ya;sola los sanaba ya;alone healed them already
re mapu lawen;solo  con remedio  de la tierra;Only with Earth Remedy
re mapu lawen menokomu;solo con remedio de la tierra de  lugares de agua;Only with the remedy of the land of water places
tuntelekefuy kuyfi ka felekay lawen;cuantos remedios habia antes aun es asi;how many remedies had before
petu felekayka petu feley  lawen;aun sigue asi aun  sigue asi el remedio;The remedy still continues like this still
petu feley  lawenka;aun esta asi el remedio no es cierto;This is how the remedy is not true
make  lawenkefuyiñ;bucabamos remedio de maqui;We built Machi Remedy
pülay foki;enrredaderas;Enrestadas
chod make kelü kulle;maqui amarilla colle colorado;Yellow Machi Colle Colorado
kom lawen fey;todo esos remedios;All those remedies
fey waka lawen;y el torongil kujano;and the torongil kujano
kom feychi lawen trapümkefuyiñ;todos esos remedios lo juntaba;All those remedies joined him
lavayengün;lo lavamos a ellos;We wash it to them
mongetripakefuy;terminaban sanandose;They ended up healing
kom famngechi mongetripakefuy ñi pu püñeñ tati;todo asi  han terminado sano mis hijos pues;Everything like this have ended my children healthy because
lakelafuy domo  nial püñeñ;la  mujer no moria al mometo del parto;The woman does not deliver the momet of childbirth
tüfameu kuyfi ngekenofulu pital;aca antes cuando  no habia  hospital;here before when there was no hospital
lakelafuy domo  püñeñayem;se  morian las  mujeres en el parto;Women in childbirth were dying
fey müten ta feley  tati;eso no mas es asi pues;That is not like that
feyta kimngelafuy lawen ka;y  no se sabia de remedios pues;And he was not known as Remedios, then
ka matrona kompañalayu ka;y la matrona no lo acompano;And the midwife does not accompany him
femngechi  ta perdey taiñ fesinayem tati;asi es  como murio la que era nuestra vecina pues;This is how our neighbor was died because
kimlafuy ta lawen pe  pe  pemay;no sabia  quizas de remedios;I did not know of remedies
feymu mayta perdey piken iñche müten;por eso es  que se murio digo yo;That's why I died I say
lawentumekelaymi;no  te remediabas;You did not remedy
lawentumekelan;no  me remediaba nunca;I never remedied me
femngechi rupaymaken pu chau;asi como pasba pues padre;Just as Pasba then father
fentren lawen ta müley  tati;hay tantos remedios pues;There are so many remedies then
mapumu petu tati;aun en la tierra;even on earth
pulmonia ka fey müley lawen;para  la pulmonia tambien para eso hay remedio;For the lung also for that there is remedy
re mamüll tüfey  re mamüll;esos  son solo arboles;Those are just trees
ese mongetripakey;ese termina sanandose;That ends up healing
newentutuam;para reafirmarse;To reaffirm yourself
newentutuam tati;para reafirmarse pues;To reaffirm yourself then
müley ñi pütokoal;deben tomar;They must take
re yafü lawen;solo remedios fuertes;only strong remedies
re weche lawen;solo remedios fuertes;only strong remedies
itro fill kutranmeu müley lawen mapuchemeu;en el mapuche hay remedios para distintas enfermedades;In the Mapuche there are remedies for different diseases
mülekefuy mülekefuy mapuche lawen;habian habian remediosmapuches;They had remedymapuche
fill kutranmu müley  pingekey;en distintas enfermedades existia dicen;In different diseases there are
müley kom trürümngel;deben mezclarse todas;They must all mix
feymu llemay ta inche epeke kimlan lawen;por eso es que yo casi  no sabia de remedio;That is why I almost did not know about remedy
kom trürümal;el saber mezclarlo;Know how to mix it
mülellimay fey;claro hay eso;Of course there is that
fill kutran müley ka konkey;cuando  hay  varias enfermedades tambien entra;When there are several diseases also enters
mongeafuy trafentun;el mal del encuentro con espiritus malignos se puede sanar;The evil of the encounter with evil spirits can be heal
mongeafuy;se  puede sanar;It can be heal
pewütukimi kay;y  has adivinado;And you have guessed
pewütukefimi che;le haces la adivinacion a las personas;You do the divination to people
peutukelan ka;no hago davinacion;I do not do Davinacion
pewütukelaymi;no adivinas;Non -guess
pewütukelan che;no  adivino en las personas;I don't guess people
mülekey  pewütuchelu pingey  müley;hay personas que  adivinan dicen hay;there are people who guess say there are
re famngechi ngillatunmu müten;solo  asi con oraciones no mas;Only like this with sentences no more
kuyfi  mapuche fütakeche;antes los mayores mapuches;Before the greatest Mapuches
chumngelu chi fentreketukefuy mongen;porque tendran tanta vida;because they will have so much life
pingekey  tüfa papay;eso dicen ahora madre;That is what mother now
feypingekefuy peu;eso es  lo que dicen pues;That is what they say then
peutulümkefuy kuyfike che;antes se hacia la adivinacion la gente;Before the divination of people
newe kimpalan feychi peutüwün;no lo alcance a conocer tanto esa adivinacion;I do not come to know so much that divination
newe kimpalafiñ feychi duam tati;no lo llegue a conocer tanto ese trabajo pues;I don't get to know so much that job because
feytichi mungunuachi chi kutran;esa enfermedad que  no se va mejorar;that disease that will not be improved
katrükey  lawen;se corta el remedio;The remedy is cut
pikefuy ta kuyfike che lle;no eso lo que dicen los  antiguos;Not what the ancients say
feyti iñche kimlan;eso yo  no lo se;I don't know that
chem lawenmu ñi peungekefel che ka;con que remedio lo ven a las personas pues;What remedy do you see people because
mapuche kuyfi;los mapuches antes;The Mapuches before
chumngeluchi fentreketukefuy mongen;porque sera que goza de una larga vida;Because it will be that it enjoys a long life
kichu lawentüukefuy;ellos mismos se remediaban;They remedied themselves
tüfa ñi koñi miaulu;este mi hijo que anda;This my son who is
tichi cheu nga newe ngelay;donde no hay  mucho;where there is not much
ngütramkapay kiñe;vino a conversar uno;came to talk
kiñe kude malen pikey;una  mujer adulta dice;An adult woman says
ñi koñi iñchiñ kutran kelayiñ;nuestro hijo no se enferma;Our son does not get sick
y kutraniyiñ kichuta trürümüymukiyiñ lawen;y  cuando nos enfermamos solo juntamos los remedios;And when we get sick, we only join the remedies
y mongeymukiyiñ;y no sanamos;And we don't heal
iñche ta ospitalmu ta miaukelayiñ;nosotros  no andamos en el hospital;We do not walk in the hospital
ospitalmu ta püñeñmekelayiñ iñchiñ;no vamos por parto al hospital nosotros;We are not going to the Hospital for delivery
pichi pichiy ñi ngütram chi domo;corto corto su conversa la mujer;Short your conversation the woman
iñchiñ ta kichu ta montulüukiyiñ;nosotros  nos  salvamos solos;We save ourselves alone
kutranküleyiñ;cuando estamos enfermos;When we are sick
ka kichu ta mongelüukiyiñ;tambien nos sanamos solos;We also heal alone
iñchiñ ta lawen piaukelayiñ ta ospitalmu;nosotros  no andamos pidiendo remedios en el hospital;We are not asking for remedies at the hospital
iñchiñ ta nieyiñ ta mapu taiñ lawen;nosotros nuestra tierra tiene nuestro remedio;We our land has our remedy
ta nieyiñ taiñ mapumeu;tenemos en nuestra tierra;We have in our land
fey taiñ taiñ witrameal iñchiñ;y el salir  a buscar  nosotros el sacar nosotros;and go looking for us to get us out
taiñ taiñ mongeal;parapara sanarnos;To heal us
kiñe nian tañi kude papay;tenemos una de nuestras ancianas;We have one of our old women
ta niyiñ ta lofmeu;que tenemos en nuestra comunidad;What we have in our community
doy pataka tripantu niey;tiene mas de cien anos;has more than one hundred years
welu yafüley fill küdaumu ta petu püuküley;pero aun esta firme todavia es capaz para distintos trabjos;But it is still firm is still capable for different locks
piy ngütram chi domo;dijo su conversa la mujer;The woman said her conversation
pikey  tañi koñi;dice  mi hijo;My son says
femi may;claro que eso es asi;Of course that is so
f emngechi   lawenmu;con esos remedios;With those remedies
ta mongekeyiñ iñchiñ;vivimos  nosotros;We live
ta chumpürakelayiñ;por suerte no nos pasa nada;Luckily nothing happens to us
kiñe püñeñ ta lalkamekekelayiñ;no se muere ni un hijo;Not a child dies
kom pepilüukeymün;pueden con todo;They can with everything
kom pepilüuken;todos nos podemos;We can all
kulliñngealu;el que va tener animal;The one who will have an animal
kutrani kulliñ;se enferma el animal;The animal gets sick
iñchiñ ta kiñe fütra wampo ta nieyiñ;nosotros tenemos una batea inmensa;We have an immense bat
waskümkefiyiñ ta lawen;hervimos los remedios;We boil the remedies
feyta pütokolkefiyiñ kulliñ;y eso les damos de tomar al animal;And that we give the animal
chumngelu chi niefuy fenten kimün kuyfi engün che;por que tendrian tanta sabiduria en la antiguedad la gente;Why would they have so much wisdom in antique people
niefuyngün kimün;tenian conocimientos;They had knowledge
wenu mapu chau meu;al padre de la tierra de arriba;to the father of the earth above
feyta elunekefi feyta küme longko yengün;y el les daba esa buena cabeza a ellos;and he gave that good head to them
fey elülümkey  ta küme longko chau;y asi se hace la inteligencia padre;And so the father intelligence is done
ta wenu chau elukiyu ta kimün;el padre de arriba le da el conocimiento;The father above gives him knowledge
iñche fau;yo aca;I here
iñche ta kuñifall reke;a mi como huerfana;like Huerphana
ta tranakunurpueneu  tañi ñukeyem;me dejo botada la que era mi madre;I left the one who was my mother
iñche ngümikan adümün;yo se hacer telar con diseno;I do loom with design
kosturan asümün;se hacer costuras;take seams
ñi pu püñeñ tremümfiñ;a mis hijos los crie;To my children the Crie
iñche kidu enseñau;yo que era ensenada;I was Ensenada
kom kidu ngedüfkan;todo lo costure yo sola;I seam everything alone
iñche tañi kidu tañi longko ñi kimel;con mi propio aprendizaje de mi cabeza;With my own learning of my head
kidu müten;tu sola nomas;You alone
kidu müten;yo sola nomas;Yo only nomas
tüfa ñi pichi koñi;este mi pequeno hijo;This my little son
ta tremkunu pichi pichi elaweni ngelu;que crecio cuando era un nino adolecente;that growing when it was an adolescent child
kom küme femngechi deumalfiñ;todo le hice muy bien;I did very well
welu ñi pu püñeñ;pero mis hijos;But my children
pu koñi müleyetuy;mis hijos que ahora estan;my children who are now
yeymapalaneu ñi longko yengün;no heredaron mi inteligencia;They did not inherit my intelligence
yeñmapalaneu longko engün;no heredaron mi inteligencia ellos;They did not inherit my intelligence them
newe witraungelayngün;no son muy emprendedores;They are not very entrepreneurs
ñi fücha che;mi viejo;my old man
fey may ta kimi ketra pullal;el sabe si cultivar;He knows if cultivating
fey ta kimi;eso sabe;That knows
welu chemu rume tañi pepikayal ngelay;pero no hay nada que prepare;But there is nothing to prepare
newe konlay pepikanmu;no es de manualidades;It is not crafts
nomblay pepikanmu;no es de manualidades;It is not crafts
kiñe eltukawe ta kimlay;o un armario no sabe;or a closet does not know
tañi pu wentru koñi doy ta  kimtuyngün;mis hijos hombres buscan mas;My sons look for more
petu kidu engün ta engün;todavia ellos;They still
pepilüwingün kom;todos son de manualidades;All are crafts
pepilüwi kisu kom yengün;todo ellos son de manualidades;All of them are crafts
ka fey kutran cheuküley;tambien el ha estado enfermo;He has also been sick
kutran chengelay;no es enfermizo;It is not sickly
eluneyu mongen tañi mongeltukuneteu;le esta dando vidad el que le da vida;The one who gives him life is giving him
ngillatuymanekefiñ;lo bendigo;I bless him
ngillatuymukeaymi pikefiñ ka fey;tienes que orar por ti le digo tambien;You have to pray for you too
rume küme mongen niekefuy;tenia una my buena vida;I had a good life
kuyfi fütakeche chem rume tuwichi;antes los mayores adquiria cualquier cosa;before the elder acquired anything
welu kidu tañi füchakeche engün;pero los mayores de ellos;But the elders of them
tañi pu malle tañi chau kidu;nuestros tios su padre de el;our uncles his father of him
fentren mongen nielay;no tuvo tanta vida;did not have so much life
ka  ñi chau we wentrungey  lay;y tambien mi padre murio de joven;And also my father died as a young man
pikefuy tañi chawem;decia mi difunto padre;I said my deceased father
we wentrungey  lay ñi chau;de hombre joven mrio mi padre;of young man mrio my father
kidu ta pütramu ta elpueyu tañi chawem pikefuy;por su estomago lo dejo su difunto padre decia;For his stomach he left his late father said
epu domo kidu;dos mujeres y el;two women and the
welu feytachi pu jere ta muntuka mapupayu;pero estos jere les vino a quitar la tierra;But these Jere came to remove the earth
cheu ta kidu engün;donde ello;Where
ta kimlay wingka dungun;no saben hablar castellano;They don't know how to speak Spanish
fey müntuymangepay tañi mapu engün;y  le vinieron a quitar la tierra a ellos;And they came to remove the earth from them
malon reke ta pepayu tachi jere;como una guerra les llego a estos jere;As a war I get to these Jere
tiepüle kiñelewey  tati;por alla que uno pues;by that one then
feyta kontupayu engün;esos los vino a invadir;those came to invade
malon reke ta pepayu engün;como una guerra les vino a ver a ellos;As a war came to see them
müntuymangey  ñi mapu;le quitaron su tierra;They took his land
ka saltiangingün femngechi  femekengingün tati;como una asalto le hicieron eso le  hicieron pues;As an assault they did that then
kidu tañi tañi füchache ta fau kimlay;su  sus viejos  aca no saben;His old people here do not know
kimlay feychi dungu tañi fücha chawem;no sabe de ese asunto su difunto viejo padre;He does not know about that matter his late old father
feyta ngütraka rumekefuy;el era quien conversaba de repente;He was the one who suddenly talked
feymu iñche ta pichichengen;en ese entonces era pequena;At that time it was small
pichi domongen feyta kom allkütuymakefuiñ;era una nina chica todo les escuchabamos;It was a girl girl we listened to them
allkütuymakefuyiñ;les escuchabamos;We listened to them
longkontukuymafiñ;y lo grabamos en nuestra memoria;And we record it in our memory
feypikefuy tañi chawem;asi decia mi difunto padre;Thus my late father said
kechu;cinco;five
kechu wentrungefuyngün;eran cinco hombre;There were five man
kom fulukunuy ñi pichikeche engün pikefuy;todo dejaron sus ninos  ellos decia;Everything left their children they said
chem kutran chi yeyu;que enfermedad le habra llevado;What disease would have taken
chafolu femingünpingekingün;le dio toz a todos;He gave all
feychi kutran nükingün;esa enfermedad adquirieron;That disease acquired
chafolu femingün pingekey;como si le diera tos cuentan;As if they cough they tell
kuyfi kiñe weda kutran rupay;antes paso un grave enfermedad;Before a serious illness passed
kimpelafimün tüfa tifu pingey;deben conocerlo se llama tifoidea;They must know it is called typhoid
ru fill lof tripay pingey;en varias comunidades salio dicen;In several communities Salio say
akuy fau;llego aca;I arrive here
welu fau chumlay che welu;pero aca no le paso nada a la gente;But here nothing happened to people
chumlay che;no le paso nada a la gente;I don't pass anything to people
chumlay che fau chumkalay che fau;no le paso nada a la gente por suerte no le paso nada aca;I do not happen to people luckily, nothing happened here
fill lof müley pingey feytichi kutran;en todas las comunidades esta dicen esa enfermedad;In all communities they say that disease
kuyfi kuyfi dungu;antiguo antiguo acontecimiento;Ancient event
tüfa mayta doy antiwümu mayta rupapi;aca debe  haber pasado  hace mas tiempo;here must have spent more time ago
ta feychi kutran;esa enfermedad;That disease
femngechi may;asi es claro;This is clear
fentepuanten ñi ngütram pu chau;hasta aqui llegara mi conversa pues padre;So far my conversation will arrive then father
kuyfi ka yagel ramtuafiñ pipefun;queria tambien preguntarle sobre comida de antes;I also wanted to ask you about before food
ka yagel yagel;tambien comidas comidas;Also meals meals
kangechi yagel ikefuy che pingey ka;la manera de comer era diferente dice la gente tambien;The way of eating was different says people too
feymu penu  soy küme;por eso sera mejor;That is why it will be better
mürke feyta iy che;harina eso comia la gente;FLOUR THAT GATE THE PEOPLE
afüm  sengüll;poroto cocido;cooked bean
müllokiñ;mullokin;Mullokin
iñche re femngechi tremün ñi pu koñi;yo solamente de esa forma crie a mis hijos;I only create my children in this way
afümelfiñ  dengüllengün;le cocia porotos a ellos;He cooked for them
pichike tukukefuyiñ tachi fegamu;sembrabamos un poco aca en la vega;We sowed a little here in La Vega
welu  pütrü kosechakefuyiñ;pero cosechamos harto;But we harvest fed up
alün müten;solo en gran cantidad;only in large quantity
ka poñi chi kuen poñi deumalkefuyiñ;tambien papas esa papa asada haciamos;also potatoes that roasted potatoes we made
engün  ikefuyngün;con eso comiamos;With that we eat
fey kuwen poñi kafe yengün ikefuy;y con papa asada tambien con eso lo comia;And with roasted potato also with that
kuwen poñi engün  mültrün;papa asada con catutos;roasted potatoes with catutes
deumalfiñ porotoy makunufiñ mültrün;le preparaba con poroto el catuto;I prepared with beans the catuto
chellko kuram sefolla yengu;con sopa de huevo con cebolla;With egg soup with onion
kuram engün ingün;con huevo;with egg
re femngechi iyagelmu reke;solo con esa comida;Only with that food
tremümün ñi pu koñi iñche;crie a mis hijos yo;Crie my children me
feymu re motriñke wentrungey  ñi pu koñi;por eso mis hijos son todos gordos;That's why my children are all fat
feychi yagel müte ingewekelay;esa comida ya no se come mas;That food is no longer eaten
feymu peno rume kutran chewi che;por eso sera que la gente esta tan enfermiza;That is why people are so sickly
tüfachi regül ta tripay fantenmu;ahora solamente se acumula esto;Now this only accumulates
ta iyagel pikelay anta che;es comida no dice la gente;It's food, people don't say
re kochü;puro dulce;pure sweet
re kochiy alimentau;se alimentan con puro dulce;They feed with pure sweet
kuyfi ngekelafuy feychi yagel pues;antes  no existia esa comida pues;Before that food did not exist because
mülekefuy mültrün müllokiñ;habia  catuitos y mullokin;There were catuitos and mullokin
müllokiñ mültrün;catutos y mullokin;Catutos and Mullokin
müllokiñ mültrün;mullokin catutos;Mullokin Catutos
ka mekeñnga mekeñ ka deumangekellefuy meskeñ;tambien el merken el merken lo hacia;also the Merken el Merken did
chüko chadi yiwiñ  makunungey  tati;chuko con sal un poco de grasa le hechaba pues;Chuko with salt a little fat made him then
ta ka kuwetungey;ahora tambien es diferente;Now it is also different
yafülewekefuy;quedaba un poco duro;It was a little hard
napor;yuyo;Yuyo
iñche fau petu iñmuken napor;yo aca aun como yuiyo;I still here as Yuiyo
petu iñmukeñ napor iñche;aun como yuyo yo;Even as Yuyo I
müleyem napor deumaymuken friñ napor;cuando hay yuyo hago yuyo frito;When there is yuyo I do yuyo fried
feytichi yagel;esa comida;that food
rume alün newen elukefi che pingey;le da mucha fuerza a la gentre dicen;It gives a lot of strength to the gentre they say
feymu penu  anta;sera por eso que;It will be for that reason that
tañi füchache ta fentren mongen niey pikefiñ tati;nuestros abuelos tenian tanta vida digo pues;Our grandparents had so much life I say then
welu kichu müten mongeluwi tati;pero el nomas se hizo vivir pues;But the life was lived then
kakelu tañi pu tañi tañi;los otros de los  nuestros;The others of ours
ngewelay;ya no hay;there is no
kidu müten mongeltu piukeluwi tañi wentru;el no mas que aun vive su corazon mi hombre;The no more who still lives his heart my man
femngechi feleyiñ tati;asi es como estamos pues;This is how we are well
rume  wingka yagel ituy che;ahora la gente come  mucha comida huinca;Now people eat a lot of food huinca
feymu penu  newen ngewelay ka fey;por eso sera que ya no son fuertes;That is why they are no longer strong
feymu newen ngewelay ka;por eso ya no son fuertes pues;That is why they are no longer strong because
ka epe nielay;casi ya no tiene;It almost no longer has
kuyfi feyta feytichi iyagel ikefel;ante se comia esa comida;Before that meal
wardakefuy che pemay;sera que lo gurdaba la gente;It will be that people gurdled him
feymu niekefuy kimün;por eso tenia sabiduria;That's why I had wisdom
mülekefuy mawidamu ka yagel pingey;en los montes tambien hay alimentos dicen;In the mountains there are also foods say
ñengüm chamgle;el changle;The Changle
fey ka mülekefuy pingey ingewelay tüfa;eso tambien habia dicen ya no se consume ahora;That also said is no longer consumed now
petu müley changle;aun  hay changle;There is still changle
petu müley;todavia hay;there are still
iñche petu ikeñ changle;yo todavia como changle;I still like changle
kalal mülekefuy kuyfi;kalal tambien habia antes;Kalal had also before
kewün waka pingekefuy;lengua de vaca se llamaba;cow tongue was called
mamüllmu tripakefuy;salia en los troncos;came out in the trunks
feyta fey iwekelafiñ tüfey changle;eso ya no lo como ahora el changle;That is no longer like now the changle
petu petu tripakey;aun aun sale;They still come out
faupüle;por aca;For here
feyta wingkulmu;eso en el cerro;That on the hill
tamu aukül wingkul feymu tripakey changle;aca en el cerro awkul  ahi salia changle;here on Cerro Awkul there, it was changle
kiñe ñi inan wentru koñi;uno de hijos menores;one of minor children
changleal;a buscar changle;To look for Changle
chumngechi ingekey  tüfey;como lo come eso;how does that eat
ensalangekey;se hace ensalada;Salad is made
ka füri ngekey;y tambien se frie;and also fry
femngechi ingekey;asi se come;So you eat
lewür ka fey;tambien el lewur;Also the Lewur
lewür;lewur;Lewur
lawen maukefuy penu  tüfey;seguramente eso hasta se hacia remedio;surely that even remedy
lawen maukefuy penu;seguramente hasta se hacia remedio;surely even remedy
fempelay;seguramente eso pasaba;Surely that happened
feula pichikeche kimwetulay tüfey;ahora los ninos ya no saben eso;Now children don't know that
weda dunguno papay;es una mala cosa no mamita;It's a bad thing not mommy
weda dungu  feyta feula;es una aunto muy malo eso lo que sucede ahora;It is a very bad automation that happens now
weda  dungu  feula;ahora es una cosa mala;Now it's a bad thing
wingkawi ta che reke;la gente como que se esta ahuincando;People like that are driving
fey llemay;claro que si;of course
feyta wüñopetuay may wüñotuale;eso sera que va volver si es que va volver;That will be that it will come back if it goes back
feyta wüñotuay pile ta fücha chau dios;si dice el padre dios que vuelva;If the Father God says to return
iñche feymu pepapeyu tati;por eso yo te vine a ver pues;That's why I came to see you then
feymu anta miaupaymün faupüle;por eso andan por aqui;That's why they walk here
feyta;eso es;That's it
ngütramkameafiñ papay pu peñi;voy a ir a conversar con las madres y hermanos;I'm going to talk with mothers and brothers
wüne trekalelu pipen;los van caminando primero he dicho  mayores;I have walked first I said older
kiduengün  ta niey kimün engün;ellos tienen sabiduria;They have wisdom
kuyfi chumlekefel pipen;como era en la antiguedad;as was in antique
feypipellimi llemay ta ti;seguramente dijiste eso pues;You surely said that
ta fau may ta doy  pichi;que aca es un poco;that here is a bit
marimari peñi;hola hermano;Hi brother
chum wünmaleymi tüfapüle;como amanecen  por aqui;How they dawn here
küme wünmaliyiñ fachi puliwen;amanecimos bien esta manana;We wake up this morning
pinmuta chau dios ta küme wünmaliyiñ;amnecemos bien por la voluntad de dios;We love God's will
tati küme pichi alüpüra tripay antü ta deu ta tüfa tati;a esta hora que el sol ya esta a buena altura pues;at this time that the sun is already at a good height because
feley tati peñi;asi es hermano;that is right, brother
feyta kümey tamün küme wünmalen;eso es bueno que amanezcan bien;That is good that they dawn well
iñche ka ka mapu miaupan tüfa;yo aqui ando en otras tierras ahora;I am here in other lands now
lonquimay mapu;en tierras de lonquimay;In Lonquimay lands
pewenchemu tüfamu;en  los pehuenches aca;In the Pehuenches here
iñche ta nguluche tati;yo soy nguluche pues;I am nguluche then
fey pemean tañi pu peñi mapuche;entonces ire a ver a mis hermanos mapuches;Then I will see my Mapuche brothers
ngütramkameafiñ pipen;les ire a conversar dije;I will go to talk to you
feymu ta pepapeyu tati peñi tüfa;por eso te he venido a ver aqui hermano;That's why I have come to see here brother
feley ka peñi;asi es pues hermano;So it's brother
küme peno  tañi pewal che peñi;debe ser bueno que no veamos hermano;It must be good that we do not see brother
feyta chewam kimüwayiñ;entonces donde nos iremos a conocer;So where we will get to know
ta kiñeke ta kimuwiy müna ayüwi;algunos se conocen y se alegran mucho;Some know and be very happy
ta traftu  mapuchewen anta peñi;y como somos entre mapuches hermano;And how are we among Mapuches Brother
adkiñtuwüyem mapuche ta kümey;cuando se miran los mapuches es bueno;When looking at the Mapuches it is good
kiñeke mapuchekay ta werintuwi;pero algunos mapuches se desprecian;But some Mapuches despise
famentukünuukey;se hacen un lado;They take a side
ta duamlay ta mapuche;no quieren a los mapuches;They don't want the Mapuches
feyta kimlafiñ tati feypiy kiñeke;a aquel no lo conozco dicen algunos;I don't know that some say some
femnoafulu ta iñchiñ;nosotros no tenemos que hacer eso;We don't have to do that
fey kom ta kake kalekay taiñ rakiduam kay peñi;pero todos nuestros pensamientos son distintos pues hermano;But all our thoughts are different then brother
feley pu peñi feley tati;asi es pues hermanos asi es;This is how brothers it is
feymu iñche tripapan tati;por eso yo sali para aca pues;That's why I went out here then
kamapu nguleche iñche;de lejos yo soy persona del norte;From afar I am a person from the north
pemean tañi pu peñi;ire a ver a mis hermanos;I will see my brothers
kimiafiñ engün  chumngechi tañi ilengün;los ire a conocer como estan comiendo;I will know how they are eating
chumngechi tañi küdaukülen  engün;como estan trabajando;How are you working
tañi poyenekan engün;si todavia se apoyan;If they still support
tañi feyentulen engün pipen tati peñi;si aun estan obedeciendo he dicho hermano;If they are still obeying I have said brother
iñi  pingeymi tüfa peñi eymi;como te llamas tu hermano;What's your name your brother
feyt feyta ta iñche ta fortunato rosa pingen;yo me llamo fortunato rosa;My name is Fortunato Rosa
aa;aa;aa
tunten tripantu deuma  nieymi ta;cuantos anos tienes ya;how old are you now
tüfa ta fantenmu ta melimari kayu tripantu nien;ahora a esta altura ya tengo 46 anos;Now at this point I already have 46 years
meli mari kayu triapantu;cuarenta y seis anos;forty-six years
tami lof iñi  pingey tüfa;aqui tu lugar como se llama;here your place what is called
tüfa tañi lof tañi mülenmu ta;aqui en el lugar donde vivimos;here in the place where we live
alünleymün tüfamu;son numerosos aqui;They are numerous here
alüliyiñ pütrü alüliyiñ tamu;somos numerosos aqui;We are numerous here
pütrü alüliyiñ ta tüfachi komunidameu;aqui en esta comunidad somos numerosos;Here in this community we are numerous
yamchewam ta;para respetarse aqui;To respect yourself here
feyta kuyfi ta tüfa;entonces aqui antes;So here before
fey tüfa akutuluam;pero como ahora llego;But as now I arrive
taiñ ley ta diktaleiñmu;nuestra ley que nos dicto;our law that dictated us
diktalngeyiñ ta tüfa feychi;nos dictaron esto esa vez;They gave us this this time
feychi leymu ta feyta organisawiyiñ;nos organizamos en esa ley;We organize ourselves in that law
tüfachi pütra komunidamu;en esta comunidad grande;In this big community
fey tüfichi leymu tripalu;con esa ley que salio;With that law that came out
feymu pichike wichuletuymün;por eso ahora estan un poco separados;That's why now they are a little separated
